 ,0, 250, 500, 750, 1000, 1250, 1500, 1750, 2000, 2250, 2500, 2750, 3000, 3250, 3500, 3750, 4000, 4250, 4500, 4750, 5000, 5250, 5500, 5750, 6000
 100, -1, -1, 2.94945652173913, 2.622392578125, 2.09499681122449, 2.36107558139535, 1.86107843137255, 1.6779155927835, 1.47540584415584, 1.35386643835616, 1.66622570671378, 1.73151012569832, 1.7684521575985, 1.79970178926441, 1.7957606827112, 1.81557839388145, 2.02393417874396, 2.09794642857142, 2.54255009541985, 4.1325, -1, -1, -1, -1, -1
96, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.134375, 4.085, -1, -1, -1, -1, -1, -1
92, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.65125, 3.99, -1, -1, -1, -1, -1, -1
88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1.28125, -1, 3.9425, -1, -1, -1, -1, -1, -1
84, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.8475, 3.895, -1, -1, -1, -1, -1, -1
80, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1.25, 3.8475, -1, -1, -1, -1, -1, -1
76, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.7525, -1, -1, -1, -1, -1, -1
72, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.705, -1, -1, -1, -1, -1, -1
68, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
64, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.61, -1, -1, -1, -1, -1, -1
60, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.515, -1, -1, -1, -1, -1, -1
56, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.4675, -1, -1, -1, -1, -1, -1
52, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
48, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.325, -1, -1, -1, -1, -1, -1
44, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.2775, -1, -1, -1, -1, -1, -1
40, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
36, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.1825, -1, -1, -1, -1, -1, -1
32, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.0875, -1, -1, -1, -1, -1, -1
28, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.9925, -1, -1, -1, -1, -1, -1, -1
24, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.945, -1, -1, -1, -1, -1, -1, -1
20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.85, 2.8975, -1, -1, -1, -1, -1, -1
16, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.8025, -1, -1, -1, -1, -1, -1, -1
12, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.755, -1, -1, -1, -1, -1, -1, -1
8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2.1375, -1, -1, -1, -1, -1, -1
4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1.9, 1.9, -1, -1, -1, -1, -1, -1
0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1.63875, 1.63875, 1.6625, -1, -1, -1, -1, -1, -1, -1
