Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.009,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.019,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.029,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.039,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.70,1.52,122,48,0,2,0,0,0,
0.049,690,4349,185.2,100.0,0,12.10,0.0,12.41,11.50,1.52,122,48,0,2,0,0,0,
0.059,869,2594,185.2,100.0,0,12.10,0.0,12.41,11.60,1.52,122,48,0,2,0,0,0,
0.069,869,2594,185.2,100.0,0,12.10,0.0,12.41,11.70,1.52,122,48,0,2,0,0,0,
0.079,869,2594,185.2,100.0,0,12.11,1.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.089,869,2594,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.099,869,2594,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.109,869,2594,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,122,48,0,2,0,0,0,
0.119,922,814,185.2,100.0,0,12.11,0.0,12.41,11.70,1.52,121,48,0,2,0,0,0,
0.129,922,814,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,121,48,0,2,0,0,0,
0.139,922,814,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,121,48,0,2,0,0,0,
0.149,922,814,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,121,48,0,2,0,0,0,
0.159,922,814,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,121,48,0,2,0,0,0,
0.169,922,814,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,121,48,0,2,0,0,0,
0.179,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.70,1.52,120,48,0,2,0,0,0,
0.189,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.70,1.52,120,48,0,2,0,0,0,
0.199,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,120,48,0,2,0,0,0,
0.209,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,120,48,0,2,0,0,0,
0.219,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.80,1.52,120,48,0,2,0,0,0,
0.229,986,1052,185.2,100.0,0,12.11,0.0,12.41,11.70,1.52,120,48,0,2,0,0,0,
0.239,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.70,1.48,119,48,0,2,0,0,0,
0.249,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.70,1.18,119,48,0,2,0,0,0,
0.259,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.70,1.18,119,48,0,2,0,0,0,
0.269,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.80,1.18,119,48,0,2,0,0,0,
0.279,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.80,1.18,119,48,0,2,0,0,0,
0.289,984,-32,185.2,100.0,0,12.11,0.0,12.41,11.70,1.18,119,48,0,2,0,0,0,
0.299,1028,754,185.2,100.0,0,12.11,0.0,12.41,11.60,1.18,118,48,0,2,0,0,0,
0.309,1028,754,185.2,100.0,0,12.11,0.0,12.41,11.70,1.18,118,48,0,2,0,0,0,
0.319,1028,754,185.2,100.0,0,12.11,0.0,12.41,11.70,1.18,118,48,0,2,0,0,0,
0.329,1028,754,185.2,100.0,0,12.11,0.0,12.41,11.70,0.86,118,48,0,2,0,0,0,
