Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,837,7938,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,123,48,0,2,0,0,0,
0.009,837,7938,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,123,48,0,2,0,0,0,
0.019,837,7938,181.6,100.0,0,12.09,0.0,12.54,11.70,1.52,123,48,0,2,0,0,0,
0.029,837,7938,181.6,100.0,0,12.09,0.0,12.54,11.70,1.52,123,48,0,2,0,0,0,
0.039,837,7938,181.6,100.0,0,12.09,0.0,12.54,11.50,1.52,123,48,0,2,0,0,0,
0.049,918,1239,183.4,100.0,0,12.09,0.0,12.54,11.50,1.52,122,48,0,2,0,0,0,
0.059,918,1239,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,122,48,0,2,0,0,0,
0.069,918,1239,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,122,48,0,2,0,0,0,
0.079,918,1239,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,122,48,0,2,0,0,0,
0.089,918,1239,181.6,100.0,0,12.09,0.0,12.54,11.70,1.52,122,48,0,2,0,0,0,
0.099,918,1239,181.6,100.0,0,12.09,0.0,12.54,11.70,1.52,122,48,0,2,0,0,0,
0.109,918,1239,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,122,48,0,2,0,0,0,
0.119,944,409,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,121,48,0,2,0,0,0,
0.129,944,409,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,121,48,0,2,0,0,0,
0.139,944,409,183.4,100.0,0,12.09,0.0,12.54,11.70,1.52,121,48,0,2,0,0,0,
0.149,944,409,183.4,100.0,0,12.09,0.0,12.54,11.70,1.52,121,48,0,2,0,0,0,
0.159,944,409,181.6,100.0,0,12.09,0.0,12.54,11.70,1.52,121,48,0,2,0,0,0,
0.169,944,409,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,121,48,0,2,0,0,0,
0.179,1000,934,181.6,100.0,0,12.09,0.0,12.54,11.60,1.52,120,48,0,2,0,0,0,
0.189,1000,934,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,120,48,0,2,0,0,0,
0.199,1000,934,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,120,48,0,2,0,0,0,
0.209,1000,934,183.4,100.0,0,12.09,0.0,12.54,11.70,1.52,120,48,0,2,0,0,0,
0.219,1000,934,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,120,48,0,2,0,0,0,
0.229,1000,934,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,120,48,0,2,0,0,0,
0.239,989,-181,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,119,48,0,2,0,0,0,
0.249,989,-181,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,119,48,0,2,0,0,0,
0.259,989,-181,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,119,48,0,2,0,0,0,
0.269,989,-181,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,119,48,0,2,0,0,0,
0.279,989,-181,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,119,48,0,2,0,0,0,
0.289,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,118,48,0,2,0,0,0,
0.299,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.52,118,48,0,2,0,0,0,
0.309,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.34,118,48,0,2,0,0,0,
0.319,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,118,48,0,2,0,0,0,
0.329,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,118,48,0,2,0,0,0,
0.339,1043,938,183.4,100.0,0,12.09,0.0,12.54,11.60,1.20,118,48,0,2,0,0,0,
0.349,1003,-668,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,116,48,0,2,0,0,0,
0.359,1003,-668,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,116,48,0,2,0,0,0,
0.369,1003,-668,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,116,48,0,2,0,0,0,
0.379,1003,-668,183.4,100.0,0,12.09,0.0,12.54,11.60,1.21,116,48,0,2,0,0,0,
0.389,1003,-668,183.4,100.0,0,12.09,0.0,12.54,11.60,1.08,116,48,0,2,0,0,0,
0.399,1358,8037,183.4,100.0,0,12.09,0.0,12.54,11.60,0.87,115,48,0,2,0,0,0,
