Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,872,8203,179.8,100.0,0,12.13,0.0,12.46,11.80,1.52,124,48,0,2,0,0,0,
0.009,872,8203,179.8,100.0,0,12.13,0.0,12.46,11.90,1.52,124,48,0,2,0,0,0,
0.019,872,8203,179.8,100.0,0,12.13,0.0,12.46,11.80,1.52,124,48,0,2,0,0,0,
0.029,1265,8287,179.8,100.0,0,12.13,0.0,12.46,11.60,1.52,123,48,0,2,0,0,0,
0.039,1265,8287,179.8,100.0,0,12.13,0.0,12.46,11.70,1.52,123,48,0,2,0,0,0,
0.049,1265,8287,179.8,100.0,0,12.14,1.0,12.46,11.80,1.52,123,48,0,2,0,0,0,
0.059,1265,8287,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,123,48,0,2,0,0,0,
0.069,1265,8287,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,123,48,0,2,0,0,0,
0.079,1244,-435,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,122,48,0,2,0,0,0,
0.089,1244,-435,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,122,48,0,2,0,0,0,
0.099,1244,-435,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,122,48,0,2,0,0,0,
0.109,1244,-435,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,122,48,0,2,0,0,0,
0.119,1244,-435,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,122,48,0,2,0,0,0,
0.129,1233,-226,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,120,48,0,2,0,0,0,
0.139,1233,-226,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,120,48,0,2,0,0,0,
0.149,1233,-226,179.8,100.0,0,12.14,0.0,12.46,11.80,1.52,120,48,0,2,0,0,0,
0.159,1233,-226,179.8,100.0,0,12.14,0.0,12.46,11.80,1.05,120,48,0,2,0,0,0,
0.169,1233,-226,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,120,48,0,2,0,0,0,
0.179,1174,-1155,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,119,48,0,2,0,0,0,
0.189,1174,-1155,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,119,48,0,2,0,0,0,
0.199,1174,-1155,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,119,48,0,2,0,0,0,
0.209,1174,-1155,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,119,48,0,2,0,0,0,
0.219,1174,-1155,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,119,48,0,2,0,0,0,
0.229,1321,3238,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,118,48,0,2,0,0,0,
0.239,1321,3238,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,118,48,0,2,0,0,0,
0.249,1321,3238,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,118,48,0,2,0,0,0,
0.259,1321,3238,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,118,48,0,2,0,0,0,
0.269,1287,-729,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,117,48,0,2,0,0,0,
0.279,1287,-729,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,117,48,0,2,0,0,0,
0.289,1287,-729,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,117,48,0,2,0,0,0,
0.299,1287,-729,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,117,48,0,2,0,0,0,
0.309,1673,10769,179.8,100.0,0,12.14,0.0,12.46,11.80,0.78,116,48,0,2,0,0,0,
0.319,1673,10769,179.8,100.0,0,12.14,0.0,12.46,11.80,0.77,116,48,0,2,0,0,0,
0.329,1673,10769,179.8,100.0,0,12.14,0.0,12.46,11.80,0.73,116,48,0,2,0,0,0,
0.339,1652,-578,179.8,100.0,0,12.14,0.0,12.46,11.80,0.73,116,48,0,2,0,0,0,
0.349,1652,-578,179.8,100.0,0,12.14,0.0,12.46,11.80,0.73,114,48,0,2,0,0,0,
0.359,1652,-578,179.8,100.0,0,12.14,0.0,12.46,11.80,0.73,114,48,0,2,0,0,0,
0.369,1652,-578,179.8,100.0,0,12.14,0.0,12.46,11.80,0.73,114,48,0,2,0,0,0,
