Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,748,4526,178.0,100.0,0,11.99,1.0,12.44,11.70,1.52,124,49,0,2,0,0,0,
0.009,748,4526,178.0,100.0,0,12.00,1.0,12.44,11.80,1.52,124,49,0,2,0,0,0,
0.019,748,4526,178.0,100.0,0,12.01,1.0,12.44,11.80,1.52,124,49,0,2,0,0,0,
0.029,748,4526,178.0,100.0,0,12.02,1.0,12.44,11.80,1.52,124,49,0,2,0,0,0,
0.039,748,4526,178.0,100.0,0,12.03,1.0,12.44,11.80,1.52,124,49,0,2,0,0,0,
0.049,748,4526,178.0,100.0,0,12.04,1.0,12.44,11.70,1.52,124,49,0,2,0,0,0,
0.059,878,1903,178.0,100.0,0,12.05,1.0,12.44,11.80,1.52,123,49,0,2,0,0,0,
0.069,878,1903,178.0,100.0,0,12.06,1.0,12.44,11.80,1.52,123,48,0,2,0,0,0,
0.079,878,1903,178.0,100.0,0,12.07,1.0,12.44,11.80,1.52,123,49,0,2,0,0,0,
0.089,878,1903,178.0,100.0,0,12.08,1.0,12.44,11.80,1.52,123,48,0,2,0,0,0,
0.099,878,1903,178.0,100.0,0,12.09,1.0,12.44,11.80,1.52,123,48,0,2,0,0,0,
0.109,878,1903,178.0,100.0,0,12.10,1.0,12.44,11.80,1.52,123,49,0,2,0,0,0,
0.119,972,1524,178.0,100.0,0,12.10,0.0,12.44,11.70,1.52,122,49,0,2,0,0,0,
0.129,972,1524,178.0,100.0,0,12.11,1.0,12.44,11.80,1.52,122,49,0,2,0,0,0,
0.139,972,1524,178.0,100.0,0,12.12,1.0,12.44,11.80,1.52,122,49,0,2,0,0,0,
0.149,972,1524,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,122,49,0,2,0,0,0,
0.159,972,1524,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,122,49,0,2,0,0,0,
0.169,972,1524,178.0,100.0,0,12.12,0.0,12.44,11.70,1.52,122,49,0,2,0,0,0,
0.179,987,246,178.0,100.0,0,12.12,0.0,12.44,11.70,1.52,121,49,0,2,0,0,0,
0.189,987,246,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,121,49,0,2,0,0,0,
0.199,987,246,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,121,49,0,2,0,0,0,
0.209,987,246,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,121,49,0,2,0,0,0,
0.219,987,246,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,121,49,0,2,0,0,0,
0.229,987,246,178.0,100.0,0,12.12,0.0,12.44,11.70,1.52,121,49,0,2,0,0,0,
0.239,1038,882,178.0,100.0,0,12.12,0.0,12.44,11.70,1.52,120,48,0,2,0,0,0,
0.249,1038,882,178.0,100.0,0,12.12,0.0,12.44,11.80,1.52,120,49,0,2,0,0,0,
0.259,1038,882,178.0,100.0,0,12.13,1.0,12.44,11.80,1.52,120,49,0,2,0,0,0,
0.269,1038,882,178.0,100.0,0,12.13,0.0,12.44,11.80,1.52,120,49,0,2,0,0,0,
0.279,1038,882,178.0,100.0,0,12.13,0.0,12.44,11.80,1.52,120,48,0,2,0,0,0,
0.290,1019,-322,178.0,100.0,0,12.13,0.0,12.44,11.70,1.52,118,49,0,2,0,0,0,
0.299,1019,-322,178.0,100.0,0,12.13,0.0,12.44,11.70,0.98,118,48,0,2,0,0,0,
0.309,1019,-322,178.0,100.0,0,12.13,0.0,12.44,11.80,0.92,118,49,0,2,0,0,0,
0.319,1019,-322,178.0,100.0,0,12.13,0.0,12.44,11.80,0.92,118,49,0,2,0,0,0,
0.329,1019,-322,178.0,100.0,0,12.13,0.0,12.44,11.80,0.92,118,49,0,2,0,0,0,
0.339,1376,8190,178.0,100.0,0,12.13,0.0,12.44,11.70,0.92,117,49,0,2,0,0,0,
0.349,1376,8190,178.0,100.0,0,12.13,0.0,12.44,11.70,0.92,117,49,0,2,0,0,0,
0.359,1376,8190,178.0,100.0,0,12.13,0.0,12.44,11.80,0.92,117,49,0,2,0,0,0,
0.369,1376,8190,178.0,100.0,0,12.13,0.0,12.44,11.80,0.92,117,48,0,2,0,0,0,
0.379,1361,-340,178.0,100.0,0,12.13,0.0,12.44,11.70,0.83,116,49,0,2,0,0,0,
0.389,1361,-340,178.0,100.0,0,12.13,0.0,12.44,11.70,0.81,116,49,0,2,0,0,0,
0.399,1361,-340,178.0,100.0,0,12.13,0.0,12.44,11.80,0.81,116,49,0,2,0,0,0,
0.409,1361,-340,178.0,100.0,0,12.13,0.0,12.44,11.70,0.80,116,49,0,2,0,0,0,
0.419,1722,10365,178.0,100.0,0,12.13,0.0,12.44,11.70,0.81,115,48,0,2,0,0,0,
0.429,1722,10365,178.0,100.0,0,12.13,0.0,12.44,11.70,0.81,115,48,0,2,0,0,0,
0.439,1722,10365,178.0,100.0,0,12.13,0.0,12.44,11.80,0.81,115,49,0,2,0,0,0,
0.449,1683,-1094,178.0,100.0,0,12.13,0.0,12.44,11.70,0.80,114,49,0,2,0,0,0,
0.459,1683,-1094,178.0,100.0,0,12.13,0.0,12.44,11.70,0.75,114,49,0,2,0,0,0,
0.469,1683,-1094,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,114,49,0,2,0,0,0,
0.479,1976,9652,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,112,49,0,2,0,0,0,
0.489,1976,9652,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,112,49,0,2,0,0,0,
0.499,1976,9652,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,112,49,0,2,0,0,0,
0.509,1926,-1605,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,111,49,0,2,0,0,0,
0.519,1926,-1605,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,111,49,0,2,0,0,0,
0.529,1926,-1605,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,111,49,0,2,0,0,0,
0.539,2227,11175,178.0,100.0,0,12.13,0.0,12.44,11.70,0.70,110,49,0,2,0,0,0,
0.549,2227,11175,178.0,100.0,0,12.14,1.0,12.44,11.70,0.70,110,49,0,2,0,0,0,
0.559,2227,11175,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,110,49,0,2,0,0,0,
0.569,2216,-406,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,109,49,0,2,0,0,0,
0.579,2216,-406,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,109,49,0,2,0,0,0,
0.589,2504,12021,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,107,49,0,2,0,0,0,
0.599,2504,12021,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,107,49,0,2,0,0,0,
0.609,2504,12021,178.0,100.0,0,12.14,0.0,12.44,11.70,0.70,107,49,0,2,0,0,0,
0.619,2488,-663,178.0,100.0,0,12.14,0.0,12.44,11.60,0.70,106,48,0,2,0,0,0,
0.629,2488,-663,178.0,100.0,0,12.14,0.0,12.44,11.70,0.69,106,49,0,2,0,0,0,
0.639,2752,12110,178.0,100.0,0,12.14,0.0,12.44,11.60,0.70,105,49,0,2,0,0,0,
0.649,2752,12110,178.0,100.0,0,12.15,1.0,12.44,11.70,0.70,105,48,0,2,0,0,0,
0.659,2736,-729,178.0,100.0,0,12.15,0.0,12.44,11.60,0.70,104,48,0,2,0,0,0,
0.669,2736,-729,178.0,100.0,0,12.15,0.0,12.44,11.70,0.70,104,49,0,2,0,0,0,
0.679,2988,12549,178.0,100.0,0,12.15,0.0,12.44,11.60,0.70,103,49,0,2,0,0,0,
0.689,2988,12549,178.0,100.0,0,12.15,0.0,12.44,11.70,0.70,103,49,0,2,0,0,0,
0.699,2891,-4674,178.0,100.0,0,12.15,0.0,12.44,11.60,0.70,101,49,0,2,0,0,0,
0.709,2891,-4674,178.0,100.0,0,12.15,0.0,12.44,11.70,0.71,101,49,0,2,0,0,0,
0.719,2996,5244,178.0,100.0,0,12.15,0.0,12.44,11.70,0.70,100,49,0,2,0,0,0,
0.729,2996,5244,178.0,100.0,0,12.16,1.0,12.44,11.70,0.71,100,48,0,2,0,0,0,
0.739,2831,-7786,178.0,100.0,0,12.16,0.0,12.44,11.70,0.70,100,49,0,2,0,0,0,
0.749,2831,-7786,178.0,100.0,0,12.16,0.0,12.44,11.70,0.70,100,48,0,2,0,0,0,
0.759,2942,5444,178.0,100.0,0,12.16,0.0,12.44,11.70,0.70,100,49,0,2,0,0,0,
0.769,2942,5444,178.0,100.0,0,12.16,0.0,12.44,11.70,0.70,100,48,0,2,0,0,0,
0.779,2804,-6450,178.0,100.0,0,12.16,0.0,12.44,11.70,0.70,100,49,0,2,0,0,0,
0.789,2804,-6450,178.0,100.0,0,12.16,0.0,12.44,11.60,0.73,100,49,0,2,0,0,0,
0.799,2944,6869,178.0,100.0,0,12.16,0.0,12.44,11.70,0.73,100,49,0,2,0,0,0,
0.809,2944,6869,178.0,100.0,0,12.16,0.0,12.44,11.60,0.74,100,49,0,2,0,0,0,
0.819,2944,6869,178.0,100.0,0,12.16,0.0,12.44,11.70,0.73,100,49,0,2,0,0,0,
0.829,2793,-7030,178.0,100.0,0,12.16,0.0,12.44,11.60,0.74,100,49,0,2,0,0,0,
0.839,2793,-7030,178.0,100.0,0,12.16,0.0,12.44,11.70,0.73,100,49,0,2,0,0,0,
0.849,2936,6999,178.0,100.0,0,12.16,0.0,12.44,11.60,0.74,100,48,0,2,0,0,0,
0.859,2936,6999,178.0,100.0,0,12.16,0.0,12.44,11.70,0.74,100,49,0,2,0,0,0,
0.869,2799,-6391,178.0,100.0,0,12.16,0.0,12.44,11.60,0.75,100,49,0,2,0,0,0,
0.879,2799,-6391,178.0,100.0,0,12.16,0.0,12.44,11.70,0.77,100,49,0,2,0,0,0,
0.889,2964,8152,178.0,100.0,0,12.16,0.0,12.44,11.60,0.77,100,49,0,2,0,0,0,
0.899,2964,8152,178.0,100.0,0,12.16,0.0,12.44,11.70,0.77,100,49,0,2,0,0,0,
0.909,2827,-6455,178.0,100.0,0,12.16,0.0,12.44,11.60,0.77,100,49,0,2,0,0,0,
0.919,2827,-6455,178.0,100.0,0,12.16,0.0,12.44,11.70,0.77,100,48,0,2,0,0,0,
0.929,2989,8072,178.0,100.0,0,12.16,0.0,12.44,11.60,0.76,100,49,0,2,0,0,0,
0.939,2989,8072,178.0,100.0,0,12.17,1.0,12.44,11.70,0.77,100,48,0,2,0,0,0,
0.949,2866,-5877,178.0,100.0,0,12.17,0.0,12.44,11.60,0.77,100,49,0,2,0,0,0,
0.959,2866,-5877,178.0,100.0,0,12.17,0.0,12.44,11.70,0.78,100,48,0,2,0,0,0,
0.969,3036,8603,178.0,100.0,0,12.17,0.0,12.44,11.60,0.78,100,49,0,2,0,0,0,
0.979,3036,8603,178.0,100.0,0,12.17,0.0,12.44,11.70,0.78,100,49,0,2,0,0,0,
0.989,2911,-6066,178.0,100.0,0,12.17,0.0,12.44,11.60,0.77,100,49,0,2,0,0,0,
0.999,2911,-6066,178.0,100.0,0,12.17,0.0,12.44,11.70,0.78,100,49,0,2,0,0,0,
1.009,3070,8137,178.0,100.0,0,12.17,0.0,12.44,11.60,0.78,100,49,0,2,0,0,0,
1.019,3070,8137,178.0,100.0,0,12.17,0.0,12.44,11.70,0.78,100,49,0,2,0,0,0,
1.029,2934,-6651,178.0,100.0,0,12.17,0.0,12.44,11.60,0.78,100,49,0,2,0,0,0,
1.039,2934,-6651,178.0,100.0,0,12.17,0.0,12.44,11.70,0.79,100,49,0,2,0,0,0,
1.049,3095,8306,178.0,100.0,0,12.17,0.0,12.44,11.60,0.79,100,48,0,2,0,0,0,
1.059,3095,8306,178.0,100.0,0,12.17,0.0,12.44,11.70,0.79,100,49,0,2,0,0,0,
1.069,2975,-5950,178.0,100.0,0,12.17,0.0,12.44,11.60,0.79,100,48,0,2,0,0,0,
1.079,2975,-5950,178.0,100.0,0,12.17,0.0,12.44,11.70,0.79,100,48,0,2,0,0,0,
1.089,3142,8747,178.0,100.0,0,12.17,0.0,12.44,11.60,0.79,100,49,0,2,0,0,0,
1.099,3142,8747,178.0,100.0,0,12.18,1.0,12.44,11.70,0.79,100,48,0,2,0,0,0,
1.109,3020,-6140,178.0,100.0,0,12.18,0.0,12.44,11.60,0.79,100,49,0,2,0,0,0,
1.119,3020,-6140,178.0,100.0,0,12.18,0.0,12.44,11.70,0.79,100,49,0,2,0,0,0,
1.129,3170,7927,178.0,100.0,0,12.18,0.0,12.44,11.60,0.80,100,49,0,2,0,0,0,
