Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,780,6722,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.009,780,6722,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,127,49,0,2,0,0,0,
0.019,780,6722,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,127,49,0,2,0,0,0,
0.029,780,6722,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,127,49,0,2,0,0,0,
0.039,780,6722,170.8,100.0,0,12.13,0.0,12.46,11.60,0.50,127,49,0,2,0,0,0,
0.049,874,6722,170.8,100.0,0,12.13,0.0,12.46,11.50,0.50,127,49,0,2,0,0,0,
0.059,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.60,0.50,125,49,0,2,0,0,0,
0.069,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.079,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,125,49,0,2,0,0,0,
0.089,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,125,49,0,2,0,0,0,
0.099,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,125,49,0,2,0,0,0,
0.109,874,1370,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.119,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,124,49,0,2,0,0,0,
0.129,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,124,49,0,2,0,0,0,
0.139,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,124,49,0,2,0,0,0,
0.149,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,124,49,0,2,0,0,0,
0.159,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,124,49,0,2,0,0,0,
0.169,955,1290,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,124,49,0,2,0,0,0,
0.179,966,177,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.189,966,177,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.199,966,177,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.209,966,177,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,123,49,0,2,0,0,0,
0.219,966,177,170.8,100.0,0,12.13,0.0,12.46,11.80,0.50,123,49,0,2,0,0,0,
0.229,966,177,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.239,1019,900,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.249,1019,900,170.8,100.0,0,12.13,0.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.259,1019,900,170.8,100.0,0,12.14,1.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.269,1019,900,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.279,1019,900,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.289,1019,900,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,121,49,0,2,0,0,0,
0.299,997,-365,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,120,49,0,2,0,0,0,
0.309,997,-365,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,120,49,0,2,0,0,0,
0.319,997,-365,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,120,49,0,2,0,0,0,
0.329,997,-365,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,120,49,0,2,0,0,0,
0.340,1314,6943,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,119,49,0,2,0,0,0,
0.349,1314,6943,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,119,49,0,2,0,0,0,
0.359,1314,6943,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,119,49,0,2,0,0,0,
0.369,1314,6943,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,119,49,0,2,0,0,0,
0.379,1314,6943,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,119,49,0,2,0,0,0,
0.389,1289,-537,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,117,49,0,2,0,0,0,
0.399,1289,-537,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,117,49,0,2,0,0,0,
0.409,1289,-537,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,117,49,0,2,0,0,0,
0.419,1289,-537,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,117,49,0,2,0,0,0,
0.429,1667,10502,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,116,49,0,2,0,0,0,
0.439,1667,10502,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,116,49,0,2,0,0,0,
0.449,1667,10502,170.8,100.0,0,12.14,0.0,12.46,11.70,0.50,116,49,0,2,0,0,0,
0.459,1646,-576,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,115,49,0,2,0,0,0,
0.469,1646,-576,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,115,49,0,2,0,0,0,
0.479,1646,-576,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,115,49,0,2,0,0,0,
0.490,1950,9880,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,113,49,0,2,0,0,0,
0.499,1950,9880,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,113,49,0,2,0,0,0,
0.509,1950,9880,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,113,49,0,2,0,0,0,
0.519,1950,9880,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,113,49,0,2,0,0,0,
0.529,1879,-2224,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,112,49,0,2,0,0,0,
0.539,1879,-2224,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,112,49,0,2,0,0,0,
0.549,2187,11231,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,111,49,0,2,0,0,0,
0.559,2187,11231,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,111,49,0,2,0,0,0,
0.569,2187,11231,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,111,49,0,2,0,0,0,
0.579,2176,-398,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,109,49,0,2,0,0,0,
0.589,2176,-398,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,109,49,0,2,0,0,0,
0.599,2176,-398,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,109,49,0,2,0,0,0,
0.609,2463,11781,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,108,49,0,2,0,0,0,
0.619,2463,11781,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,108,49,0,2,0,0,0,
0.629,2448,-612,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,107,49,0,2,0,0,0,
0.639,2448,-612,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,107,49,0,2,0,0,0,
0.649,2704,11539,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,105,49,0,2,0,0,0,
0.659,2704,11539,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,105,49,0,2,0,0,0,
0.669,2704,11539,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,105,49,0,2,0,0,0,
0.679,2563,-6024,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,104,49,0,2,0,0,0,
0.689,2563,-6024,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,104,49,0,2,0,0,0,
0.699,2709,6592,170.8,100.0,0,12.14,0.0,12.46,11.60,0.50,103,49,0,2,0,0,0,
0.709,2709,6592,170.8,100.0,0,12.15,1.0,12.46,11.60,0.50,103,49,0,2,0,0,0,
0.719,2564,-6197,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,101,49,0,2,0,0,0,
0.729,2564,-6197,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,101,49,0,2,0,0,0,
0.739,2711,6643,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.749,2711,6643,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.759,2711,6643,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.769,2569,-6081,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.779,2569,-6081,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.789,2715,6607,170.8,100.0,0,12.15,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.799,2715,6607,170.8,100.0,0,12.16,1.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.809,2579,-5845,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.819,2579,-5845,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.829,2728,6776,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.839,2728,6776,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.849,2728,6776,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.859,2585,-6163,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.869,2585,-6163,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.879,2723,6264,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.889,2723,6264,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.899,2585,-5947,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.909,2585,-5947,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.920,2734,6790,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.929,2734,6790,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.939,2734,6790,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.949,2590,-6218,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
0.959,2590,-6218,170.8,100.0,0,12.16,0.0,12.46,11.60,0.50,100,49,0,2,0,0,0,
