Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,862,8483,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,128,49,0,2,0,0,0,
0.009,862,8483,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,128,49,0,2,0,0,0,
0.019,862,8483,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,128,49,0,2,0,0,0,
0.029,862,8483,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,128,49,0,2,0,0,0,
0.039,862,8483,165.4,100.0,0,12.15,0.0,12.44,11.50,1.52,128,49,0,2,0,0,0,
0.049,910,728,165.4,100.0,0,12.15,0.0,12.44,11.50,1.52,127,49,0,2,0,0,0,
0.059,910,728,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,127,49,0,2,0,0,0,
0.069,910,728,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,127,49,0,2,0,0,0,
0.079,910,728,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,127,49,0,2,0,0,0,
0.089,910,728,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,127,49,0,2,0,0,0,
0.099,910,728,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,127,49,0,2,0,0,0,
0.109,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,126,49,0,2,0,0,0,
0.119,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,126,49,0,2,0,0,0,
0.129,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,126,49,0,2,0,0,0,
0.139,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,126,49,0,2,0,0,0,
0.149,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,126,49,0,2,0,0,0,
0.159,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,126,49,0,2,0,0,0,
0.169,974,1039,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,126,49,0,2,0,0,0,
0.179,972,-32,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,124,49,0,2,0,0,0,
0.189,972,-32,165.4,100.0,0,12.15,0.0,12.44,11.60,1.52,124,49,0,2,0,0,0,
0.199,972,-32,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,124,49,0,2,0,0,0,
0.209,972,-32,165.4,100.0,0,12.15,0.0,12.44,11.70,1.52,124,49,0,2,0,0,0,
0.219,972,-32,165.4,100.0,0,12.15,0.0,12.44,11.70,1.06,124,49,0,2,0,0,0,
0.230,1018,781,165.4,100.0,0,12.15,0.0,12.44,11.60,0.99,123,49,0,2,0,0,0,
