Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,833,8498,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,130,49,0,2,0,0,0,
0.009,833,8498,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,130,49,0,2,0,0,0,
0.019,833,8498,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,130,49,0,2,0,0,0,
0.029,833,8498,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,130,49,0,2,0,0,0,
0.039,833,8498,161.8,100.0,0,12.12,0.0,12.44,11.70,1.52,130,49,0,2,0,0,0,
0.049,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.60,1.52,128,49,0,2,0,0,0,
0.059,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,128,49,0,2,0,0,0,
0.069,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,128,49,0,2,0,0,0,
0.079,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,128,49,0,2,0,0,0,
0.089,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,128,49,0,2,0,0,0,
0.099,924,1402,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,128,49,0,2,0,0,0,
0.110,951,428,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,127,49,0,2,0,0,0,
0.119,951,428,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,127,49,0,2,0,0,0,
0.129,951,428,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,127,49,0,2,0,0,0,
0.139,951,428,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,127,49,0,2,0,0,0,
0.149,951,428,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,127,49,0,2,0,0,0,
0.159,951,428,161.8,100.0,0,12.12,0.0,12.44,11.90,1.52,127,49,0,2,0,0,0,
0.169,1011,1011,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,125,49,0,2,0,0,0,
0.179,1011,1011,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,125,49,0,2,0,0,0,
0.189,1011,1011,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,125,49,0,2,0,0,0,
0.199,1011,1011,161.8,100.0,0,12.12,0.0,12.44,11.80,1.52,125,49,0,2,0,0,0,
