Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,676,5678,156.4,100.0,0,12.13,0.0,12.46,11.70,0.50,133,49,0,2,0,0,0,
0.009,676,5678,156.4,100.0,0,12.13,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.019,676,5678,156.4,100.0,0,12.14,1.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.029,676,5678,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.039,676,5678,154.6,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.049,676,5678,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,133,49,0,2,0,0,0,
0.059,829,2114,154.6,100.0,0,12.14,0.0,12.46,11.60,0.50,133,49,0,2,0,0,0,
0.069,829,2114,154.6,100.0,0,12.14,0.0,12.46,11.60,0.50,133,49,0,2,0,0,0,
0.079,829,2114,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,133,49,0,2,0,0,0,
0.089,829,2114,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.099,829,2114,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.109,829,2114,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.119,829,2114,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,133,49,0,2,0,0,0,
0.129,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,132,49,0,2,0,0,0,
0.139,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,132,49,0,2,0,0,0,
0.149,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,132,49,0,2,0,0,0,
0.159,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,132,49,0,2,0,0,0,
0.169,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,132,49,0,2,0,0,0,
0.179,925,1480,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,132,49,0,2,0,0,0,
0.189,944,299,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,130,49,0,2,0,0,0,
0.199,944,299,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,130,49,0,2,0,0,0,
0.209,944,299,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,130,49,0,2,0,0,0,
0.219,944,299,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,130,49,0,2,0,0,0,
0.229,944,299,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,130,49,0,2,0,0,0,
0.239,944,299,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,130,49,0,2,0,0,0,
0.249,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,128,49,0,2,0,0,0,
0.259,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,128,49,0,2,0,0,0,
0.269,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,128,49,0,2,0,0,0,
0.279,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,128,49,0,2,0,0,0,
0.289,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.80,0.50,128,49,0,2,0,0,0,
0.299,1000,934,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,128,49,0,2,0,0,0,
0.309,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,127,49,0,2,0,0,0,
0.319,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.329,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.339,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.349,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.359,983,-278,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,127,49,0,2,0,0,0,
0.369,1163,3491,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.379,1163,3491,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.389,1163,3491,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.399,1163,3491,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.409,1163,3491,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,125,49,0,2,0,0,0,
0.419,1114,-909,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,123,49,0,2,0,0,0,
0.429,1114,-909,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.439,1114,-909,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.449,1114,-909,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,123,49,0,2,0,0,0,
0.459,1485,9183,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,122,49,0,2,0,0,0,
0.469,1485,9183,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,122,49,0,2,0,0,0,
0.479,1485,9183,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,122,49,0,2,0,0,0,
0.489,1485,9183,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,122,49,0,2,0,0,0,
0.499,1478,-172,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,120,49,0,2,0,0,0,
0.509,1478,-172,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,120,49,0,2,0,0,0,
0.519,1478,-172,156.4,100.0,0,12.14,0.0,12.46,11.70,0.50,120,49,0,2,0,0,0,
0.529,1813,10122,156.4,100.0,0,12.14,0.0,12.46,11.60,0.50,118,49,0,2,0,0,0,
