Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,135,50,0,2,0,0,0,
0.009,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,135,50,0,2,0,0,0,
0.019,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,135,50,0,2,0,0,0,
0.029,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,135,50,0,2,0,0,0,
0.039,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,135,50,0,2,0,0,0,
0.049,766,7830,152.8,100.0,0,12.13,0.0,12.46,11.50,0.50,135,50,0,2,0,0,0,
0.059,867,1460,152.8,100.0,0,12.13,0.0,12.46,11.50,0.50,133,50,0,2,0,0,0,
0.069,867,1460,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,133,50,0,2,0,0,0,
0.079,867,1460,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,133,50,0,2,0,0,0,
0.089,867,1460,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,133,50,0,2,0,0,0,
0.099,867,1460,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,133,50,0,2,0,0,0,
0.110,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,131,50,0,2,0,0,0,
0.119,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,131,50,0,2,0,0,0,
0.129,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,131,50,0,2,0,0,0,
0.139,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,131,50,0,2,0,0,0,
0.149,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,131,50,0,2,0,0,0,
0.159,1163,5741,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,131,50,0,2,0,0,0,
0.169,1129,-640,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,129,50,0,2,0,0,0,
0.179,1129,-640,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,129,50,0,2,0,0,0,
0.189,1129,-640,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,129,50,0,2,0,0,0,
0.199,1129,-640,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,129,50,0,2,0,0,0,
0.209,1129,-640,152.8,100.0,0,12.13,0.0,12.46,11.70,0.50,129,50,0,2,0,0,0,
0.219,1113,-297,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,128,50,0,2,0,0,0,
0.229,1113,-297,152.8,100.0,0,12.13,0.0,12.46,11.60,0.50,128,50,0,2,0,0,0,
0.239,1113,-297,152.8,100.0,0,12.14,1.0,12.46,11.70,0.50,128,50,0,2,0,0,0,
0.249,1113,-297,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,128,50,0,2,0,0,0,
0.259,1113,-297,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,128,50,0,2,0,0,0,
0.269,1113,-297,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,128,50,0,2,0,0,0,
0.279,1049,-1119,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,126,50,0,2,0,0,0,
0.289,1049,-1119,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,126,50,0,2,0,0,0,
0.299,1049,-1119,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,126,50,0,2,0,0,0,
0.309,1049,-1119,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,126,50,0,2,0,0,0,
0.319,1049,-1119,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,126,50,0,2,0,0,0,
0.329,1249,4163,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,124,50,0,2,0,0,0,
0.339,1249,4163,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,124,50,0,2,0,0,0,
0.349,1249,4163,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,124,50,0,2,0,0,0,
0.359,1249,4163,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,124,50,0,2,0,0,0,
0.369,1249,4163,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,124,50,0,2,0,0,0,
0.379,1214,-708,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,123,50,0,2,0,0,0,
0.389,1214,-708,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,123,50,0,2,0,0,0,
0.399,1214,-708,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,123,50,0,2,0,0,0,
0.409,1579,9609,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,121,50,0,2,0,0,0,
0.419,1579,9609,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,121,50,0,2,0,0,0,
0.429,1579,9609,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,121,50,0,2,0,0,0,
0.439,1579,9609,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,121,50,0,2,0,0,0,
0.449,1574,-131,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,119,50,0,2,0,0,0,
0.459,1574,-131,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,119,50,0,2,0,0,0,
0.469,1574,-131,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,119,50,0,2,0,0,0,
0.479,1884,9736,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,117,50,0,2,0,0,0,
0.489,1884,9736,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,117,50,0,2,0,0,0,
0.499,1884,9736,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,117,50,0,2,0,0,0,
0.509,1884,9736,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,117,50,0,2,0,0,0,
0.519,1811,-2204,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,116,50,0,2,0,0,0,
0.529,1811,-2204,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,116,50,0,2,0,0,0,
0.539,1811,-2204,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,116,50,0,2,0,0,0,
0.549,2110,10516,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,114,50,0,2,0,0,0,
0.559,2110,10516,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,114,50,0,2,0,0,0,
0.569,2097,-454,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,112,50,0,2,0,0,0,
0.579,2097,-454,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,112,50,0,2,0,0,0,
0.589,2097,-454,152.8,100.0,0,12.14,0.0,12.46,11.70,0.50,112,50,0,2,0,0,0,
0.599,2379,11182,152.8,100.0,0,12.14,0.0,12.46,11.60,0.50,110,50,0,2,0,0,0,
0.609,2379,11182,152.8,100.0,0,12.15,1.0,12.46,11.60,0.50,110,50,0,2,0,0,0,
0.620,2368,-434,152.8,100.0,0,12.15,0.0,12.46,11.60,0.50,109,50,0,2,0,0,0,
0.629,2368,-434,152.8,100.0,0,12.15,0.0,12.46,11.60,0.50,109,50,0,2,0,0,0,
0.639,2368,-434,152.8,100.0,0,12.15,0.0,12.46,11.60,0.50,109,50,0,2,0,0,0,
0.649,2645,12213,152.8,100.0,0,12.15,0.0,12.46,11.60,0.50,107,50,0,2,0,0,0,
0.659,2645,12213,152.8,100.0,0,12.16,1.0,12.46,11.60,0.50,107,50,0,2,0,0,0,
0.669,2632,-570,152.8,100.0,0,12.16,0.0,12.46,11.60,0.50,105,50,0,2,0,0,0,
0.679,2632,-570,152.8,100.0,0,12.16,0.0,12.46,11.60,0.50,105,50,0,2,0,0,0,
0.689,2895,12691,152.8,100.0,0,12.16,0.0,12.46,11.60,0.50,104,50,0,2,0,0,0,
0.699,2895,12691,152.8,100.0,0,12.17,1.0,12.46,11.60,0.50,104,50,0,2,0,0,0,
0.709,2871,-1148,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,102,50,0,2,0,0,0,
0.719,2871,-1148,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,102,50,0,2,0,0,0,
0.729,3002,6554,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.739,3002,6554,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.749,2841,-7624,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.759,2841,-7624,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.769,2951,5410,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.779,2951,5410,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.790,2788,-7574,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.799,2788,-7574,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.809,2919,-7574,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.819,2919,6373,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.829,2919,6373,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.839,2769,-6923,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.849,2769,-6923,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.859,2910,6840,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.869,2910,6840,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.879,2769,-6508,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.889,2769,-6508,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.899,2905,6586,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.909,2905,6586,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.919,2773,-6102,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.929,2773,-6102,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.939,2914,6848,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.949,2914,6848,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.959,2778,-6298,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.969,2778,-6298,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.979,2930,7423,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.989,2930,7423,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
0.999,2930,7423,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
1.009,2792,-6423,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
1.019,2792,-6423,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
1.029,2938,7149,152.8,100.0,0,12.17,0.0,12.46,11.60,0.50,100,50,0,2,0,0,0,
