Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,741,9160,149.2,100.0,0,12.11,0.0,12.44,11.80,1.52,137,50,0,2,0,0,0,
0.009,741,9160,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,137,50,0,2,0,0,0,
0.019,741,9160,149.2,100.0,0,12.11,0.0,12.44,12.00,1.52,137,50,0,2,0,0,0,
0.029,741,9160,149.2,100.0,0,12.11,0.0,12.44,12.00,1.52,137,50,0,2,0,0,0,
0.039,741,9160,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,137,50,0,2,0,0,0,
0.049,741,9160,149.2,100.0,0,12.11,0.0,12.44,11.70,1.52,137,50,0,2,0,0,0,
0.059,863,1756,149.2,100.0,0,12.11,0.0,12.44,11.80,1.52,135,50,0,2,0,0,0,
0.069,863,1756,149.2,100.0,0,12.11,0.0,12.44,11.80,1.52,135,50,0,2,0,0,0,
0.079,863,1756,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,135,50,0,2,0,0,0,
0.089,863,1756,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,135,50,0,2,0,0,0,
0.099,863,1756,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,135,50,0,2,0,0,0,
0.109,1358,11205,149.2,100.0,0,12.11,0.0,12.44,11.90,1.52,133,50,0,2,0,0,0,
0.119,1358,11205,149.2,100.0,0,12.12,1.0,12.44,11.90,1.52,133,50,0,2,0,0,0,
0.129,1358,11205,149.2,100.0,0,12.12,0.0,12.44,11.90,1.52,133,50,0,2,0,0,0,
0.139,1358,11205,149.2,100.0,0,12.12,0.0,12.44,11.90,1.52,133,50,0,2,0,0,0,
0.149,1329,-642,149.2,100.0,0,12.12,0.0,12.44,11.80,1.52,131,50,0,2,0,0,0,
0.159,1329,-642,149.2,100.0,0,12.13,1.0,12.44,11.90,1.52,131,50,0,2,0,0,0,
0.169,1329,-642,149.2,100.0,0,12.13,0.0,12.44,11.90,1.52,131,50,0,2,0,0,0,
0.179,1329,-642,149.2,100.0,0,12.13,0.0,12.44,11.90,1.52,131,50,0,2,0,0,0,
0.189,1329,-642,149.2,100.0,0,12.13,0.0,12.44,11.80,1.52,131,50,0,2,0,0,0,
0.199,1315,-306,149.2,100.0,0,12.13,0.0,12.44,11.80,1.52,130,50,0,2,0,0,0,
0.209,1315,-306,149.2,100.0,0,12.13,0.0,12.44,11.80,1.52,130,50,0,2,0,0,0,
0.219,1315,-306,149.2,100.0,0,12.13,0.0,12.44,11.90,1.50,130,50,0,2,0,0,0,
0.229,1315,-306,149.2,100.0,0,12.13,0.0,12.44,11.90,1.48,130,50,0,2,0,0,0,
0.239,1262,-1115,149.2,100.0,0,12.13,0.0,12.44,11.80,1.47,128,50,0,2,0,0,0,
0.249,1262,-1115,149.2,100.0,0,12.13,0.0,12.44,11.80,1.48,128,50,0,2,0,0,0,
0.259,1262,-1115,149.2,100.0,0,12.13,0.0,12.44,11.80,1.48,128,50,0,2,0,0,0,
0.269,1262,-1115,149.2,100.0,0,12.13,0.0,12.44,11.80,1.47,128,50,0,2,0,0,0,
0.279,1681,11745,149.2,100.0,0,12.13,0.0,12.44,11.80,1.48,126,50,0,2,0,0,0,
0.289,1681,11745,149.2,100.0,0,12.13,0.0,12.44,11.80,1.48,126,50,0,2,0,0,0,
0.299,1681,11745,149.2,100.0,0,12.13,0.0,12.44,11.80,1.34,126,50,0,2,0,0,0,
0.309,1681,11745,149.2,100.0,0,12.13,0.0,12.44,11.80,1.08,126,50,0,2,0,0,0,
0.319,1652,-798,149.2,100.0,0,12.13,0.0,12.44,11.80,1.08,124,50,0,2,0,0,0,
0.329,1652,-798,149.2,100.0,0,12.13,0.0,12.44,11.80,1.08,124,50,0,2,0,0,0,
0.339,1652,-798,149.2,100.0,0,12.13,0.0,12.44,11.80,1.07,124,50,0,2,0,0,0,
