Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,764,8320,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,139,51,0,2,0,0,0,
0.009,764,8320,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,2,0,0,0,
0.019,764,8320,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,2,0,0,0,
0.029,764,8320,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,2,0,0,0,
0.039,764,8320,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,2,0,0,0,
0.049,764,8320,145.6,100.0,0,12.11,0.0,12.44,11.80,0.50,139,51,0,2,0,0,0,
0.059,870,1538,145.6,100.0,0,12.11,0.0,12.44,11.80,0.50,137,51,0,2,0,0,0,
0.069,870,1538,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,137,51,0,2,0,0,0,
0.079,870,1538,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,2,0,0,0,
0.089,870,1538,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,2,0,0,0,
0.099,1379,11705,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,135,51,0,2,0,0,0,
0.109,1379,11705,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,135,51,0,2,0,0,0,
0.119,1379,11705,145.6,100.0,0,12.12,1.0,12.44,12.00,0.50,135,51,0,2,0,0,0,
0.129,1379,11705,145.6,100.0,0,12.12,0.0,12.44,12.00,0.50,135,51,0,2,0,0,0,
0.139,1379,11705,145.6,100.0,0,12.12,0.0,12.44,12.00,0.50,135,51,0,2,0,0,0,
0.149,1352,-608,145.6,100.0,0,12.12,0.0,12.44,11.90,0.50,133,51,0,2,0,0,0,
0.159,1352,-608,145.6,100.0,0,12.12,0.0,12.44,11.90,0.50,133,51,0,2,0,0,0,
0.169,1352,-608,145.6,100.0,0,12.12,0.0,12.44,12.00,0.50,133,51,0,2,0,0,0,
0.179,1352,-608,145.6,100.0,0,12.12,0.0,12.44,12.00,0.50,133,51,0,2,0,0,0,
0.189,1337,-334,145.6,100.0,0,12.12,0.0,12.44,11.90,0.50,131,51,0,2,0,0,0,
0.199,1337,-334,145.6,100.0,0,12.12,0.0,12.44,11.90,0.50,131,51,0,2,0,0,0,
0.209,1337,-334,145.6,100.0,0,12.13,1.0,12.44,11.90,0.50,131,51,0,2,0,0,0,
0.219,1337,-334,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,131,51,0,2,0,0,0,
0.229,1337,-334,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,131,51,0,2,0,0,0,
0.239,1287,-1073,145.6,100.0,0,12.13,0.0,12.44,11.80,0.50,129,51,0,2,0,0,0,
0.249,1287,-1073,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,129,51,0,2,0,0,0,
0.259,1287,-1073,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,129,51,0,2,0,0,0,
0.270,1719,12381,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,127,51,0,2,0,0,0,
0.279,1719,12381,145.6,100.0,0,12.13,0.0,12.44,11.80,0.50,127,51,0,2,0,0,0,
0.289,1719,12381,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,127,51,0,2,0,0,0,
0.299,1719,12381,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,127,51,0,2,0,0,0,
0.309,1685,-955,145.6,100.0,0,12.13,0.0,12.44,11.80,0.50,125,51,0,2,0,0,0,
0.319,1685,-955,145.6,100.0,0,12.13,0.0,12.44,11.80,0.50,125,51,0,2,0,0,0,
0.329,1685,-955,145.6,100.0,0,12.13,0.0,12.44,11.90,0.50,125,51,0,2,0,0,0,
0.339,2010,10892,145.6,100.0,0,12.13,0.0,12.44,11.80,0.50,123,51,0,2,0,0,0,
0.349,2010,10892,145.6,100.0,0,12.14,1.0,12.44,11.80,0.50,123,51,0,2,0,0,0,
0.359,2010,10892,145.6,100.0,0,12.14,0.0,12.44,11.90,0.50,123,51,0,2,0,0,0,
0.369,1943,-2169,145.6,100.0,0,12.14,0.0,12.44,11.80,0.50,122,51,0,2,0,0,0,
0.379,1943,-2169,145.6,100.0,0,12.14,0.0,12.44,11.80,0.50,122,51,0,2,0,0,0,
0.389,1943,-2169,145.6,100.0,0,12.14,0.0,12.44,11.80,0.50,122,51,0,2,0,0,0,
0.399,2219,10209,145.6,100.0,0,12.14,0.0,12.44,11.80,0.50,120,51,0,2,0,0,0,
