Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent,
0.000,562,4524,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.009,562,4524,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.019,562,4524,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.029,562,4524,145.6,100.0,0,12.11,0.0,12.44,11.80,0.50,139,51,0,3,0,0,0,
0.039,1250,14335,145.6,100.0,0,12.11,0.0,12.44,11.80,0.50,139,51,0,3,0,0,0,
0.049,1250,14335,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,139,51,0,3,0,0,0,
0.059,1250,14335,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.069,1250,14335,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.079,1250,14335,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,139,51,0,3,0,0,0,
0.089,1224,-530,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,3,0,0,0,
0.099,1224,-530,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,3,0,0,0,
0.109,1224,-530,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,3,0,0,0,
0.119,1224,-530,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,3,0,0,0,
0.129,1224,-530,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,137,51,0,3,0,0,0,
0.139,1207,-342,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,135,51,0,3,0,0,0,
0.149,1207,-342,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,135,51,0,3,0,0,0,
0.159,1207,-342,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,135,51,0,3,0,0,0,
0.169,1207,-342,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,135,51,0,3,0,0,0,
0.179,1207,-342,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,135,51,0,3,0,0,0,
0.189,1147,-1147,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,133,51,0,3,0,0,0,
0.199,1147,-1147,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,133,51,0,3,0,0,0,
0.209,1147,-1147,145.6,100.0,0,12.11,0.0,12.44,12.00,0.50,133,51,0,3,0,0,0,
0.219,1147,-1147,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,133,51,0,3,0,0,0,
0.229,1446,7206,145.6,100.0,0,12.11,0.0,12.44,11.80,0.50,131,51,0,3,0,0,0,
0.239,1446,7206,145.6,100.0,0,12.11,0.0,12.44,11.90,0.50,131,51,0,3,0,0,0,
