Time (sec),RPM,RPM Rate (RPM/sec),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),MAP Rate (psi/sec),Barometer (psi),Battery Volt (V),Lambda Measured,Starting Compensation - Fuel (%),System Temperature (F),System Error,System Status,Charge Time Clip,Open Time Clip,Coil OverCurrent
0,574,4791,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.009,574,4791,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.019,574,4791,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.029,574,4791,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.039,574,4791,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.049,574,4791,169,100,0,12.13,0,12.46,11.5,1,127,49,0,2,0,0,0
0.059,802,3049,169,100,0,12.13,0,12.46,11.5,1,127,49,0,2,0,0,0
0.069,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.079,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.089,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.099,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.109,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.119,802,3049,169,100,0,12.13,0,12.46,11.6,1,127,49,0,2,0,0,0
0.129,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.139,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.149,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.159,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.169,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.179,880,1144,169,100,0,12.13,0,12.46,11.6,1,126,49,0,2,0,0,0
0.189,959,1263,169,100,0,12.13,0,12.46,11.6,1,125,49,0,2,0,0,0
0.199,959,1263,169,100,0,12.13,0,12.46,11.6,1,125,49,0,2,0,0,0
