Time (sec),RPM,TPS (%),MAP (psi),Lambda Measured,
0.000,558,93.3,12.20,1.52,
0.009,558,93.3,12.20,1.52,
0.019,558,93.3,12.20,1.52,
0.029,558,93.3,12.20,1.52,
0.039,558,93.3,12.20,1.52,
0.049,999,93.3,12.20,1.52,
0.059,999,93.3,12.20,1.52,
0.069,999,93.3,12.20,1.52,
0.079,999,93.3,12.20,1.52,
0.089,999,93.3,12.20,1.52,
0.099,999,93.3,12.20,1.52,
0.109,999,93.3,12.20,1.52,
0.119,909,93.3,12.20,1.52,
0.129,909,93.3,12.20,1.52,
0.139,909,93.3,12.20,1.52,
0.149,909,93.3,12.20,1.52,
0.159,909,93.3,12.20,1.52,
0.169,909,93.3,12.20,1.52,
0.179,867,93.3,12.20,1.52,
0.189,867,93.4,12.20,1.52,
0.199,867,93.3,12.20,1.52,
0.209,867,93.3,12.20,1.52,
0.219,867,93.3,12.20,1.52,
0.229,867,93.3,12.20,1.52,
0.239,867,93.3,12.20,1.52,
0.249,867,93.4,12.20,1.52,
0.259,757,93.3,12.20,1.52,
0.269,757,93.3,12.20,1.52,
0.279,757,93.3,12.20,1.52,
0.289,757,93.3,12.20,1.52,
0.299,757,93.3,12.20,1.52,
0.309,757,93.3,12.20,1.52,
0.319,757,93.3,12.20,1.52,
0.329,757,93.3,12.20,1.52,
0.339,757,93.3,12.20,1.52,
0.349,704,93.3,12.20,1.52,
0.359,704,93.3,12.20,1.52,
0.369,704,93.3,12.20,1.52,
0.379,704,93.3,12.20,1.52,
0.389,704,93.3,12.20,1.52,
0.399,704,93.3,12.20,1.52,
0.409,704,93.3,12.20,1.52,
0.419,704,93.3,12.20,1.52,
0.429,704,93.3,12.20,1.52,
0.439,704,93.4,12.20,1.52,
0.449,704,93.3,12.20,1.52,
0.459,525,93.3,12.20,1.52,
0.469,525,93.4,12.20,1.52,
0.479,525,93.3,12.20,1.52,
0.489,525,93.3,12.20,1.52,
0.499,525,93.3,12.20,1.52,
0.509,525,93.3,12.20,1.52,
0.519,525,93.3,12.20,1.52,
0.529,525,93.3,12.20,1.52,
0.539,525,93.3,12.20,1.52,
0.549,525,93.3,12.20,1.52,
0.559,525,93.3,12.20,1.52,
0.569,525,93.3,12.20,1.52,
0.579,525,93.3,12.20,1.52,
0.589,525,93.3,12.20,1.52,
